"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"68(1,D9)","RCC-023-T01",3,1076.5,17,3,4,5,4,4,8,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"69(1,E9)","RCC-023-T06",2,456,42,2,6,4,3,3,18053,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"70(1,F9)","RCC-023-T08",2,338,29,2,5,4,2,2,1187,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"71(1,G9)","RCM-024",634.5,6,23.5,3,5,390.5,205,3,591,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"72(1,H9)","RCC-024-T01",8,63,46,6,4,17,6,8,6,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"73(1,A10)","RCC-024-T07",8,9,20,3,8,6,4,3,12380,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"74(1,B10)","RCC-024-T08",2,5,17,3,5,4,2,2,413,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"75(1,C10)","RCM-025",3,6,15.5,3,5,6,26,2,76.5,4,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"76(1,D10)","RCC-025-T01",10,322,6064,4,10,9,4,16,4,0.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"77(1,E10)","RCC-025-T07",2,108,1298,3,5,5,3,3,9192,1.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"78(1,F10)","RCC-025-T08",1,140,529,3,5,4,3.5,3,682,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"79(1,G10)","RCM-026",34,13,22.5,4,7,6844.5,5605.5,3,21,7,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"80(1,H10)","RCC-026-T01",4,30,221,6,5,9,3,10,19.5,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"81(1,A11)","RCC-026-T07",4,5,15,4,8,4,1,295,21753,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"82(1,B11)","RCC-026-T08",9,22,27,10,5,20.5,6,17,396.5,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"83(1,C11)","RCM-029",1270.5,8,27,4,8,54,13088,4,261,197,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"84(1,D11)","RCC-029-T01",5.5,8.5,13.5,5.5,6.5,6.5,5.5,16.5,98.5,0.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"85(1,E11)","RCC-029-T07",2,9,27,4,5,7,3,5,8962,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"86(1,F11)","RCC-029-T08",6,10,23,5.5,5,9,3,108,4800,5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"87(1,G11)","RCM-031",5418,10,23.5,3,7,15206,3584,3,34,11,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"88(1,H11)","RCC-031-T01",63.5,181,18,4,6,8,4,5,4,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"89(1,A12)","RCC-031-T07",248.5,242.5,16.5,2.5,10.5,5.5,2.5,5.5,19426.5,3.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"90(1,B12)","RCC-031-T08",132,307,17,3,8,6,2,5,1904,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"91(1,C12)","RCM-034",1,7,16,3,5,48,17,9,32,8,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"92(1,D12)","RCC-034-T01",4,53,11,1,8,6,-2,1,-1,-2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"93(1,E12)","RCC-034-T07",23221,18,34,7,13,589,28737.5,11,3500,21,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"94(1,F12)","RCC-034-T08",5,10,13,8,8,8,2,7,126,6,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"95(1,G12)","HCAM-001",1,5,17,2,6,4,0,3,2,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"96(1,H12)","HCAM-001",0,5,15,2,6,4,0,2,1,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
