"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"37(1,E5)","RAC-009-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"38(1,F5)","RAC-009-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"39(1,G5)","RAC-009-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"40(1,H5)","RAM-010","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"41(1,A6)","RAC-010-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"42(1,B6)","RAC-010-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"43(1,C6)","RAC-010-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"44(1,D6)","RAM-011","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"45(1,E6)","RAC-011-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"46(1,F6)","RAC-011-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"47(1,G6)","RAC-011-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"48(1,H6)","RAM-012","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"49(1,A7)","RAC-012-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"50(1,B7)","RAC-012-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"51(1,C7)","RAC-012-T08","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"52(1,D7)","RAM-013","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"53(1,E7)","RAC-013-T01","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"54(1,F7)","RAC-013-T07","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
