"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"59(1,C8)","RCC-052-T01",268.5,817,-6,-13,64,-7,1,97,228,28,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"60(1,D8)","RCC-052-T07",37,984,27,6,12,5,5,20,19296.5,9,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"61(1,E8)","RCC-052-T08",165,817,30.5,2.5,16.5,4.5,13,20.5,9296.5,67,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"62(1,F8)","RCM-053",10196,138,19.5,10,16,117,21,56,276,134,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"63(1,G8)","RCC-053-T01",3050.5,4604,19,3,12,5,11,13,146.5,44.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"64(1,H8)","RCC-053-T07",572,2089,14,20,15,3,18,13.5,19988,50.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"65(1,A9)","RCC-053-T08",384.5,2618,19,10.5,14,4,23,15,6154,48,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"66(1,B9)","RCM-056",4242,5005,41,8,20,33,37,30,369.5,84,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"67(1,C9)","RCC-056-T01",245,1769,17,3,12,5,17,14,166,47,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"68(1,D9)","RCC-056-T07",138,1062,12,3.5,17,7,33,23,20805,37,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"69(1,E9)","RCC-056-T08",184,902,15,9,17,8,26.5,22,7994,69,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"70(1,F9)","RCM-058",13203.5,27.5,44.5,6,41.5,10610.5,76.5,20.5,2019,185.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"71(1,G9)","RCC-058-T01",1095,2598,-56,-33.5,101,136.5,-13,97,308,54.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"72(1,H9)","RCC-058-T07",227,2162,8,-4,30,3,18,29,17351,59,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"73(1,A10)","RCC-058-T08",229,3028,8,-2,30,7,27.5,32,5754,76,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"74(1,B10)","RCM-059",6611,781,15,4,12,16,186,14,837,57.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"75(1,C10)","RCC-059-T01",1031.5,260.5,2.5,11.5,30.5,0.5,15.5,30.5,169.5,47.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"76(1,D10)","RCC-059-T07",147,98,19,80,11,5,12,13,19496.5,26,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"77(1,E10)","RCC-059-T08",153,214.5,18.5,77,14,6,17,16,6686.5,51,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"78(1,F10)","RCM-060",1103.5,1313,17,5,13,8,20,16,152,51.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"79(1,G10)","RCC-060-T01",198.5,28.5,-15.5,-11.5,48.5,-0.5,4.5,60,156,27.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"80(1,H10)","RCC-060-T07",81,14,11,3,18,4,15,12,18803.5,27.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"81(1,A11)","RCC-060-T08",276,29,-4,8.5,43,17,88.5,56,18580,136,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"82(1,B11)","RAM-001",8895,902,27,9,21,3889,1439.5,24,478.5,97,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"83(1,C11)","RAC-001-T01",666.5,1434,10,10,28,30,59,56,284.5,71,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"84(1,D11)","RAC-001-T06",130,205,12,8,16,10,38,26,2044.5,37,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"85(1,E11)","RAC-001-T08",222,117,10,6,24,9,58,36,5365.5,94,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"86(1,F11)","RAM-005",10088,4027,33,1255,25,2857.5,220,808.5,134,47,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"87(1,G11)","RAC-005-T01",8495,73,-15.5,-6,57,2795,43.5,79,317,101,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"88(1,H11)","RAC-005-T06",2101,17,16,6,16,584,54.5,15,19505,38,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"89(1,A12)","RAC-005-T08",515,49,16,8,18,286,31,17.5,6449,69.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"90(1,B12)","RAM-006",4996,160,3396,3,21,7112,124,18,981,77.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"91(1,C12)","RAC-006-T01",283,17.5,12,22,25,69.5,20,22,280,72,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"92(1,D12)","RAC-006-T06",189,13,18,8,11,16.5,14,21,10544,31,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"93(1,E12)","RAC-006-T08",320,10,7,9,35,16,33,23,4470,124,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"94(1,F12)","HCAM-001",236,10,13,6,27,6,21,16,248,88,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"95(1,G12)","HCAM-001",268,10,5.5,-2,33,2,30,20,284,120.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"96(1,H12)","RAM-012",3355,320,17,1,14,12,44,11,543,47,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
