"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"66(1,B9)","RAC-017-T07",43,2933,16,13,12,18,37,17,23102,25,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"67(1,C9)","RAC-017-T08",315,1616,3,8,32,15,131,16,9812,180.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"68(1,D9)","RAM-018",5064,236.5,19,4,9,4508.5,39,7,463,26,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"69(1,E9)","RAC-018-T01",338,1678,-4,6,38,9,102.5,22,207.5,97,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"70(1,F9)","RAC-018-T07",55.5,704.5,13.5,5.5,14.5,8.5,55,10.5,23571.5,30.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"71(1,G9)","RAC-018-T08",72,907.5,11,1.5,20,7,70.5,10.5,17458,46.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"72(1,H9)","RAM-019",8445,453,282,3,11,3250,23,3,1701.5,112.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"73(1,A10)","RAC-019-T01",7737,1463,6,0,22,1397,45,6,131,67.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"74(1,B10)","RAM-021",5309,751,17,2.5,14,5119,632.5,139,2893.5,977,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"75(1,C10)","RAC-021-T01",1199,19.5,-23,-11,56,471,87,33,139,48.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"76(1,D10)","RAC-021-T07",922.5,4408.5,12.5,58.5,16,72,66,19,19163,55,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"77(1,E10)","RAC-021-T08",833,4906,7,12,28,16,84,20.5,8562,101.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"78(1,F10)","HCAM-001",101,11.5,10,6,19,5.5,62,6,161.5,82,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"79(1,G10)","HCAM-001",74,5,13,4,13,4,30,2,90.5,41,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
